date_time,movie_id,box_office,attendees
2024-07-09,648,320.15,84731
2024-07-09,1525,291.46,58966
2024-07-09,733,238.43,61282
2024-07-09,1116,193.15,46696
2024-07-09,496,151.66,37751
2024-07-09,1092,68.4,17348
2024-07-09,1150,59.62,16312
2024-07-09,357,46.82,12507
2024-07-09,530,33.3,6988
2024-07-09,855,30.52,7510
2024-07-09,844,25.83,6372
2024-07-09,1153,19.89,4210
2024-07-09,320,12.48,2688
2024-07-09,1337,11.52,2731
2024-07-09,1286,9.3,2793
2024-07-09,966,9.16,2606
2024-07-09,116,7.74,1959
2024-07-09,1550,6.45,1488
2024-07-09,1509,5.74,1340
2024-07-09,598,5.52,1294
2024-07-09,779,5.27,1263
2024-07-09,942,5.02,1433
2024-07-09,1357,4.69,1159
2024-07-09,752,4.67,1395
2024-07-09,187,4.0,1002
2024-07-09,1024,3.21,878
2024-07-09,1283,3.2,1021
2024-07-09,707,3.0,682
2024-07-09,1062,2.77,652
2024-07-09,921,2.74,633
2024-07-09,1449,2.1,588
2024-07-09,397,1.98,543
2024-07-09,1545,1.88,431
2024-07-09,1314,1.86,434
2024-07-09,1436,1.86,594
2024-07-09,800,1.58,520
2024-07-09,721,1.16,355
2024-07-09,796,1.14,267
2024-07-09,1228,1.14,316
2024-07-09,1093,1.13,304
2024-07-09,1261,1.1,316
2024-07-09,973,1.07,292
2024-07-09,899,0.95,266
2024-07-09,254,0.92,290
2024-07-09,1002,0.86,200
2024-07-09,913,0.75,218
2024-07-09,17,0.71,285
2024-07-09,1187,0.69,304
2024-07-09,348,0.63,144
2024-07-09,806,0.6,163
2024-07-09,256,0.59,151
2024-07-09,46,0.5,100
2024-07-09,23,0.46,105
2024-07-09,1238,0.42,120
2024-07-09,36,0.39,139
2024-07-09,649,0.38,97
2024-07-09,1399,0.38,140
2024-07-09,498,0.38,153
2024-07-09,282,0.33,133
2024-07-09,344,0.3,101
2024-07-09,1340,0.25,82
2024-07-09,209,0.24,65
2024-07-09,223,0.21,57
2024-07-09,695,0.2,51
2024-07-09,1159,0.19,56
2024-07-09,353,0.19,79
2024-07-09,1006,0.18,49
2024-07-09,491,0.17,58
2024-07-09,317,0.17,54
2024-07-09,1257,0.15,44
2024-07-09,339,0.15,50
2024-07-09,1274,0.15,50
2024-07-09,492,0.14,50
2024-07-09,1493,0.13,36
2024-07-09,578,0.13,52
2024-07-09,1096,0.11,52
2024-07-09,932,0.11,31
2024-07-09,1352,0.11,44
2024-07-09,1404,0.09,33
2024-07-09,420,0.04,16
2024-07-09,704,0.04,12
2024-07-09,1098,0.01,6
2024-07-09,807,0.01,3
2024-07-09,1281,0.01,7
2024-07-09,736,0.0,2
2024-07-09,511,0.0,2
2024-07-09,1173,0.0,2
2024-07-09,1109,0.0,2
2024-07-09,157,0.0,2
2024-07-09,680,0.0,2
